		Match 1		Match 2		Match 3		Match 4	
Slot 1	3:30 p.m - 4:00 p.m	Oakwood Estate Boys	7 united	7ways	All United	Oakwood Estate Girls	D.V.F.C	Black Hawks FC	bomb skuad
		Junior		Senior		Junior		Senior	
	Changeover	10 mins = warmup							
		Match 5		Match 6		Match 7		Match 8	
Slot 2	4:10 p.m - 4:40 p.m	Dead Shot FC	E-LEMON-ATORZ	Devils FC	ENIGMA FC	fc ajanta	FC Madrid	f c sec 5	F.C devil
		Junior		Senior		Junior		Senior	
	Changeover	10 mins = warmup							
		Match 9		Match 10		Match 11		Match 12	
Slot 3	4:50 p.m -5:20 p.m	Fc suncity	fcb	fc bayern	Fhamrock Football Academy Senior	galatico warriors	Gurgaon Madrid	footballerzz	Galaxy 11
		Junior		Senior		Junior		Senior	
	Changeover	10 mins = warmup							
		Match 13		Match 14		Match 15		Match 16	
Slot 4	5:30 p.m - 6:00p.m	ALL STARS F.C	Bestech Park View City 2	Galactico 11	Close FC	Eldeco United	FPL Warriors	UNIWORLD F.C.	Mailbu F.C
		Junior		Senior		Junior		Senior	
	Changeover	10 mins = warmup							
		Match 17		Match 18		Match 19		Match 20	
Slot 5	6:10 p.m - 6:40 p.m	Heritage Warriors	Invincible 7	The Tatvanators	VATIKANS UNITED (VUFC)	HAMILTON STUNNERZ	Nirvana skill blazers	Nirvana Tigers Football Club	DLF Phase - 1
		Junior		Senior		Junior		Senior	
	Changeover	10 mins = warmup							
		Match 21		Match 22		Match 23		Match 24	
Slot 6	6:50 p.m. - 7:20 p.m	nirvana's footballers	Palms FC Jr.	Nirvana F.C	South City United	PINK TOWN FC JUNIOR	NIRVANA TIGERS	the incredibles	GREENWOODS
		Junior		Senior		Junior		Senior	
	Changeover	10 mins = warmup							
		Match 25		Match 26		Match 27		Match 28	
Slot 7	7:30 p.m - 8:00 p.m	Ridgewood Strikers	VGFC	FC Oakwood	US Dominators	the underdogs	Uniworld Warriors	pink town FC	Invincible United
		Junior		Senior		Junior		Senior	
	Changeover	10 mins = warmup							
		Match 29		Match 30		Match 31		Match 32	
Slot 8	8:10 p.m - 8:40 p.m	Sehwag International School	South Pool Rovers	R.C. VILLA	Real Champions	Sujjan invincibles	supastrikas	Royal Cheetah	S.E.F.C
		Junior		Senior		Junior		Senior	
	Changeover	10 mins = warmup							
		Match 33		Match 34		Match 35		Match 36	
Slot 9	8:50 p.m - 9:20 p.m	THE ZENITH FC	vasant united	Salwan FC	SCR	Wildbeasts	WINNING BARCA	Spiron X	St. Soldier FC
		Junior		Senior		Junior		Senior	
	Changeover	10 mins = warmup							
		Match 37		Match 38		Match 39		Match 40	
Slot 10	9:30 p.m - 10:00 p.m	TEAM UMANG	THE EXPENDABLES	yuytgjht(JV Cubs)	40's spartan	Dynamos FC	CLASSIC  11 FC		
		Senior		Senior		Senior			
